icd9v1_code	icd9v1_desc	icd10cm_code	icd10cm_desc	chapter	section	section_desc	parent_code	warning
29420	Dementia, unspecified, without behavioral disturbance	F0390	Unspecified dementia without behavioral disturbance	5	F01-F09	Mental disorders due to known physiological conditions	F039	
2989	Unspecified psychosis	F29	Unspecified psychosis not due to a substance or known physiological condition	5	F20-F29	Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders		
30000	Anxiety state, unspecified	F419	Anxiety disorder, unspecified	5	F40-F48	Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders	F41	
30390	Other and unspecified alcohol dependence, unspecified	F1020	Alcohol dependence, uncomplicated	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F102	
30500	Alcohol abuse, unspecified	F1010	Alcohol abuse, uncomplicated	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F101	
2800	Iron deficiency anemia secondary to blood loss (chronic)	D500	Iron deficiency anemia secondary to blood loss (chronic)	3	D50-D53	Nutritional anemias	D50	
27669	Other fluid overload	E8770	Fluid overload, unspecified	4	E70-E88	Metabolic disorders	E877	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
3051	Tobacco use disorder	F17200	Nicotine dependence, unspecified, uncomplicated	5	F10-F19	Mental and behavioral disorders due to psychoactive substance use	F1720	
2749	Gout, unspecified	M109	Gout, unspecified	13	M05-M14	Inflammatory polyarthropathies	M10	
33818	Other acute postoperative pain	G8918	Other acute postprocedural pain	6	G89-G99	Other disorders of the nervous system	G891	
33394	Restless legs syndrome (RLS)	G2581	Restless legs syndrome	6	G20-G26	Extrapyramidal and movement disorders	G258	
33819	Other acute pain	R52	Pain, unspecified	18	R50-R69	General symptoms and signs		
34690	Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus	G43909	Migraine, unspecified, not intractable, without status migrainosus	6	G40-G47	Episodic and paroxysmal disorders	G4390	
3384	Chronic pain syndrome	G894	Chronic pain syndrome	6	G89-G99	Other disorders of the nervous system	G89	
34830	Encephalopathy, unspecified	G9340	Encephalopathy, unspecified	6	G89-G99	Other disorders of the nervous system	G934	
32723	Obstructive sleep apnea (adult)(pediatric)	G4733	Obstructive sleep apnea (adult) (pediatric)	6	G40-G47	Episodic and paroxysmal disorders	G473	
3559	Mononeuritis of unspecified site	G589	Mononeuropathy, unspecified	6	G50-G59	Nerve, nerve root and plexus disorders	G58	
3569	Unspecified hereditary and idiopathic peripheral neuropathy	G609	Hereditary and idiopathic neuropathy, unspecified	6	G60-G65	Polyneuropathies and other disorders of the peripheral nervous system	G60	
3572	Polyneuropathy in diabetes	E0842	Diabetes mellitus due to underlying condition with diabetic polyneuropathy	4	E08-E13	Diabetes mellitus	E084	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
3659	Unspecified glaucoma	H409	Unspecified glaucoma	7	H40-H42	Glaucoma	H40	
36616	Senile nuclear sclerosis	H2510	Age-related nuclear cataract, unspecified eye	7	H25-H28	Disorders of lens	H251	
3669	Unspecified cataract	H269	Unspecified cataract	7	H25-H28	Disorders of lens	H26	
3688	Other specified visual disturbances	H538	Other visual disturbances	7	H53-H54	Visual disturbances and blindness	H53	
3699	Unspecified visual loss	H547	Unspecified visual loss	7	H53-H54	Visual disturbances and blindness	H54	
33829	Other chronic pain	G8929	Other chronic pain	6	G89-G99	Other disorders of the nervous system	G892	
37515	Tear film insufficiency, unspecified	H04129	Dry eye syndrome of unspecified lacrimal gland	7	H00-H05	Disorders of eyelid, lacrimal system and orbit	H0412	
3949	Other and unspecified mitral valve diseases	I058	Other rheumatic mitral valve diseases	9	I05-I09	Chronic rheumatic heart diseases	I05	
3963	Mitral valve insufficiency and aortic valve insufficiency	I080	Rheumatic disorders of both mitral and aortic valves	9	I05-I09	Chronic rheumatic heart diseases	I08	
4010	Malignant essential hypertension	I10	Essential (primary) hypertension	9	I10-I15	Hypertensive diseases		
4011	Benign essential hypertension	I10	Essential (primary) hypertension	9	I10-I15	Hypertensive diseases		
34889	Other conditions of brain	G9389	Other specified disorders of brain	6	G89-G99	Other disorders of the nervous system	G938	
3970	Diseases of tricuspid valve	I071	Rheumatic tricuspid insufficiency	9	I05-I09	Chronic rheumatic heart diseases	I07	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
40310	Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified	I129	Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease	9	I10-I15	Hypertensive diseases	I12	
40390	Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified	I129	Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease	9	I10-I15	Hypertensive diseases	I12	
4111	Intermediate coronary syndrome	I200	Unstable angina	9	I20-I25	Ischemic heart diseases	I20	
41071	Subendocardial infarction, initial episode of care	I214	Non-ST elevation (NSTEMI) myocardial infarction	9	I20-I25	Ischemic heart diseases	I21	
3899	Unspecified hearing loss	H9190	Unspecified hearing loss, unspecified ear	8	H90-H94	Other disorders of ear	H919	
4139	Other and unspecified angina pectoris	I208	Other forms of angina pectoris	9	I20-I25	Ischemic heart diseases	I20	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
4019	Unspecified essential hypertension	I10	Essential (primary) hypertension	9	I10-I15	Hypertensive diseases		
41401	Coronary atherosclerosis of native coronary artery	I2510	Atherosclerotic heart disease of native coronary artery without angina pectoris	9	I20-I25	Ischemic heart diseases	I251	
4148	Other specified forms of chronic ischemic heart disease	I255	Ischemic cardiomyopathy	9	I20-I25	Ischemic heart diseases	I25	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
41400	Coronary atherosclerosis of unspecified type of vessel, native or graft	I2510	Atherosclerotic heart disease of native coronary artery without angina pectoris	9	I20-I25	Ischemic heart diseases	I251	
41519	Other pulmonary embolism and infarction	I2699	Other pulmonary embolism without acute cor pulmonale	9	I26-I28	Pulmonary heart disease and diseases of pulmonary circulation	I269	
4168	Other chronic pulmonary heart diseases	I272	Other secondary pulmonary hypertension	9	I26-I28	Pulmonary heart disease and diseases of pulmonary circulation	I27	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
4239	Unspecified disease of pericardium	I319	Disease of pericardium, unspecified	9	I30-I52	Other forms of heart disease	I31	
4240	Mitral valve disorders	I340	Nonrheumatic mitral (valve) insufficiency	9	I30-I52	Other forms of heart disease	I34	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
4241	Aortic valve disorders	I350	Nonrheumatic aortic (valve) stenosis	9	I30-I52	Other forms of heart disease	I35	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
4242	Tricuspid valve disorders, specified as nonrheumatic	I360	Nonrheumatic tricuspid (valve) stenosis	9	I30-I52	Other forms of heart disease	I36	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
4243	Pulmonary valve disorders	I370	Nonrheumatic pulmonary valve stenosis	9	I30-I52	Other forms of heart disease	I37	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
4254	Other primary cardiomyopathies	I425	Other restrictive cardiomyopathy	9	I30-I52	Other forms of heart disease	I42	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
42610	Atrioventricular block, unspecified	I4430	Unspecified atrioventricular block	9	I30-I52	Other forms of heart disease	I443	
4149	Chronic ischemic heart disease, unspecified	I259	Chronic ischemic heart disease, unspecified	9	I20-I25	Ischemic heart diseases	I25	
311	Depressive disorder, not elsewhere classified	F329	Major depressive disorder, single episode, unspecified	5	F30-F39	Mood [affective] disorders	F32	
42682	Long QT syndrome	I4581	Long QT syndrome	9	I30-I52	Other forms of heart disease	I458	
42731	Atrial fibrillation	I4891	Unspecified atrial fibrillation	9	I30-I52	Other forms of heart disease	I489	
4271	Paroxysmal ventricular tachycardia	I472	Ventricular tachycardia	9	I30-I52	Other forms of heart disease	I47	
412	Old myocardial infarction	I252	Old myocardial infarction	9	I20-I25	Ischemic heart diseases	I25	
42732	Atrial flutter	I4892	Unspecified atrial flutter	9	I30-I52	Other forms of heart disease	I489	
42769	Other premature beats	I493	Ventricular premature depolarization	9	I30-I52	Other forms of heart disease	I49	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
42761	Supraventricular premature beats	I491	Atrial premature depolarization	9	I30-I52	Other forms of heart disease	I49	
42789	Other specified cardiac dysrhythmias	I498	Other specified cardiac arrhythmias	9	I30-I52	Other forms of heart disease	I49	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
42781	Sinoatrial node dysfunction	I495	Sick sinus syndrome	9	I30-I52	Other forms of heart disease	I49	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
4279	Cardiac dysrhythmia, unspecified	I499	Cardiac arrhythmia, unspecified	9	I30-I52	Other forms of heart disease	I49	
4280	Congestive heart failure, unspecified	I509	Heart failure, unspecified	9	I30-I52	Other forms of heart disease	I50	
42820	Systolic heart failure, unspecified	I5020	Unspecified systolic (congestive) heart failure	9	I30-I52	Other forms of heart disease	I502	
42821	Acute systolic heart failure	I5021	Acute systolic (congestive) heart failure	9	I30-I52	Other forms of heart disease	I502	
42823	Acute on chronic systolic heart failure	I5023	Acute on chronic systolic (congestive) heart failure	9	I30-I52	Other forms of heart disease	I502	
42822	Chronic systolic heart failure	I5022	Chronic systolic (congestive) heart failure	9	I30-I52	Other forms of heart disease	I502	
42611	First degree atrioventricular block	I440	Atrioventricular block, first degree	9	I30-I52	Other forms of heart disease	I44	
42831	Acute diastolic heart failure	I5031	Acute diastolic (congestive) heart failure	9	I30-I52	Other forms of heart disease	I503	
4263	Other left bundle branch block	I447	Left bundle-branch block, unspecified	9	I30-I52	Other forms of heart disease	I44	
4289	Heart failure, unspecified	I509	Heart failure, unspecified	9	I30-I52	Other forms of heart disease	I50	
42833	Acute on chronic diastolic heart failure	I5033	Acute on chronic diastolic (congestive) heart failure	9	I30-I52	Other forms of heart disease	I503	
4293	Cardiomegaly	I517	Cardiomegaly	9	I30-I52	Other forms of heart disease	I51	
4264	Right bundle branch block	I4510	Unspecified right bundle-branch block	9	I30-I52	Other forms of heart disease	I451	
4299	Heart disease, unspecified	I519	Heart disease, unspecified	9	I30-I52	Other forms of heart disease	I51	
43330	Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction	I658	Occlusion and stenosis of other precerebral arteries	9	I60-I69	Cerebrovascular diseases	I65	
43491	Cerebral artery occlusion, unspecified with cerebral infarction	I6350	Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery	9	I60-I69	Cerebrovascular diseases	I635	
431	Intracerebral hemorrhage	I619	Nontraumatic intracerebral hemorrhage, unspecified	9	I60-I69	Cerebrovascular diseases	I61	
42832	Chronic diastolic heart failure	I5032	Chronic diastolic (congestive) heart failure	9	I30-I52	Other forms of heart disease	I503	
4359	Unspecified transient cerebral ischemia	G459	Transient cerebral ischemic attack, unspecified	6	G40-G47	Episodic and paroxysmal disorders	G45	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
44021	Atherosclerosis of native arteries of the extremities with intermittent claudication	I70219	Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity	9	I70-I79	Diseases of arteries, arterioles and capillaries	I7021	
4400	Atherosclerosis of aorta	I700	Atherosclerosis of aorta	9	I70-I79	Diseases of arteries, arterioles and capillaries	I70	
4409	Generalized and unspecified atherosclerosis	I7090	Unspecified atherosclerosis	9	I70-I79		I709	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
4414	Abdominal aneurysm without mention of rupture	I714	Abdominal aortic aneurysm, without rupture	9	I70-I79	Diseases of arteries, arterioles and capillaries	I71	
4471	Stricture of artery	I771	Stricture of artery	9	I70-I79	Diseases of arteries, arterioles and capillaries	I77	
44422	Arterial embolism and thrombosis of lower extremity	I743	Embolism and thrombosis of arteries of the lower extremities	9	I70-I79	Diseases of arteries, arterioles and capillaries	I74	
4439	Peripheral vascular disease, unspecified	I739	Peripheral vascular disease, unspecified	9	I70-I79	Diseases of arteries, arterioles and capillaries	I73	
45340	Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity	I82409	Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity	9	I80-I89	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I8240	
44771	Thoracic aortic ectasia	I77810	Thoracic aortic ectasia	9	I70-I79	Diseases of arteries, arterioles and capillaries	I7781	
45341	Acute venous embolism and thrombosis of deep vessels of proximal lower extremity	I82419	Acute embolism and thrombosis of unspecified femoral vein	9	I80-I89	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I8241	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
45351	Chronic venous embolism and thrombosis of deep vessels of proximal lower extremity	I82519	Chronic embolism and thrombosis of unspecified femoral vein	9	I80-I89	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I8251	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
45342	Acute venous embolism and thrombosis of deep vessels of distal lower extremity	I82449	Acute embolism and thrombosis of unspecified tibial vein	9	I80-I89	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
4539	Other venous embolism and thrombosis of unspecified site	I8291	Chronic embolism and thrombosis of unspecified vein	9	I80-I89	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I829	
4553	External hemorrhoids without mention of complication	K644	Residual hemorrhoidal skin tags	11	K55-K64	Other diseases of intestines	K64	
4556	Unspecified hemorrhoids without mention of complication	K649	Unspecified hemorrhoids	11	K55-K64	Other diseases of intestines	K64	
4550	Internal hemorrhoids without mention of complication	K648	Other hemorrhoids	11	K55-K64	Other diseases of intestines	K64	
4580	Orthostatic hypotension	I951	Orthostatic hypotension	9	I95-I99	Other and unspecified disorders of the circulatory system		
4571	Other lymphedema	I890	Lymphedema, not elsewhere classified	9	I80-I89	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I89	
4590	Hemorrhage, unspecified	R58	Hemorrhage, not elsewhere classified	18	R50-R69	General symptoms and signs		
4589	Hypotension, unspecified	I959	Hypotension, unspecified	9	I95-I99	Other and unspecified disorders of the circulatory system	I95	
4592	Compression of vein	I871	Compression of vein	9	I80-I89	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I87	
45981	Venous (peripheral) insufficiency, unspecified	I872	Venous insufficiency (chronic) (peripheral)	9	I80-I89	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified		
43310	Occlusion and stenosis of carotid artery without mention of cerebral infarction	I6529	Occlusion and stenosis of unspecified carotid artery	9	I60-I69	Cerebrovascular diseases	I652	
42830	Diastolic heart failure, unspecified	I5030	Unspecified diastolic (congestive) heart failure	9	I30-I52	Other forms of heart disease	I503	
462	Acute pharyngitis	J029	Acute pharyngitis, unspecified	10	J00-J06	Acute upper respiratory infections	J02	
43889	Other late effects of cerebrovascular disease	I69898	Other sequelae of other cerebrovascular disease	9	I60-I69	Cerebrovascular diseases		This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
45989	Other specified disorders of circulatory system	I998	Other disorder of circulatory system	9	I95-I99	Other and unspecified disorders of the circulatory system	I99	
4660	Acute bronchitis	J209	Acute bronchitis, unspecified	10	J20-J22	Acute upper respiratory infections	J20	
4599	Unspecified circulatory system disorder	I879	Disorder of vein, unspecified	9	I80-I89	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I87	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
4659	Acute upper respiratory infections of unspecified site	J069	Acute upper respiratory infection, unspecified	10	J00-J06	Acute upper respiratory infections	J06	
47819	Other disease of nasal cavity and sinuses	J340	Abscess, furuncle and carbuncle of nose	10	J30-J39	Other diseases of upper respiratory tract	J34	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
4779	Allergic rhinitis, cause unspecified	J300	Vasomotor rhinitis	10	J30-J39	Other diseases of upper respiratory tract	J30	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
4739	Unspecified sinusitis (chronic)	J329	Chronic sinusitis, unspecified	10	J30-J39	Other diseases of upper respiratory tract	J32	
486	Pneumonia, organism unspecified	J189	Pneumonia, unspecified organism	10	J09-J18	Influenza and pneumonia	J18	
490	Bronchitis, not specified as acute or chronic	J40	Bronchitis, not specified as acute or chronic	10	J40-J47	Chronic lower respiratory diseases		
49390	Asthma, unspecified type, unspecified	J45909	Unspecified asthma, uncomplicated	10	J40-J47	Chronic lower respiratory diseases	J4590	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
49320	Chronic obstructive asthma, unspecified	J449	Chronic obstructive pulmonary disease, unspecified	10	J40-J47	Chronic lower respiratory diseases	J44	
4928	Other emphysema	J439	Emphysema, unspecified	10	J40-J47	Chronic lower respiratory diseases	J43	
496	Chronic airway obstruction, not elsewhere classified	J449	Chronic obstructive pulmonary disease, unspecified	10	J40-J47	Chronic lower respiratory diseases	J44	
5070	Pneumonitis due to inhalation of food or vomitus	J690	Pneumonitis due to inhalation of food and vomit	10	J60-J70	Lung diseases due to external agents		
5119	Unspecified pleural effusion	J918	Pleural effusion in other conditions classified elsewhere	10	J90-J94	Other diseases of the pleura	J91	
51289	Other pneumothorax	J9383	Other pneumothorax	10	J90-J94	Other diseases of the pleura	J938	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
49121	Obstructive chronic bronchitis with (acute) exacerbation	J441	Chronic obstructive pulmonary disease with (acute) exacerbation	10	J40-J47	Chronic lower respiratory diseases		
514	Pulmonary congestion and hypostasis	J182	Hypostatic pneumonia, unspecified organism	10	J09-J18	Influenza and pneumonia	J18	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
51882	Other pulmonary insufficiency, not elsewhere classified	J80	Acute respiratory distress syndrome	10	J80-J84	Other respiratory diseases principally affecting the interstitium		
5180	Pulmonary collapse	J9811	Atelectasis	10	J96-J99	Other diseases of the respiratory system	J981	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
51881	Acute respiratory failure	J9600	Acute respiratory failure, unspecified whether with hypoxia or hypercapnia	10	J96-J99	Other diseases of the respiratory system	J960	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
53011	Reflux esophagitis	K210	Gastro-esophageal reflux disease with esophagitis	11	K20-K31	Diseases of esophagus, stomach and duodenum	K21	
51889	Other diseases of lung, not elsewhere classified	J984	Other disorders of lung	10	J96-J99	Other diseases of the respiratory system	J98	
53081	Esophageal reflux	K219	Gastro-esophageal reflux disease without esophagitis	11	K20-K31	Diseases of esophagus, stomach and duodenum	K21	
53085	Barrett's esophagus	K2270	Barrett's esophagus without dysplasia	11	K20-K31	Diseases of esophagus, stomach and duodenum	K227	
53190	Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction	K259	Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation	11	K20-K31	Diseases of esophagus, stomach and duodenum	K25	
53550	Unspecified gastritis and gastroduodenitis, without mention of hemorrhage	K2970	Gastritis, unspecified, without bleeding	11	K20-K31	Diseases of esophagus, stomach and duodenum	K297	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
5368	Dyspepsia and other specified disorders of function of stomach	K30	Functional dyspepsia	11	K20-K31	Diseases of esophagus, stomach and duodenum		
5589	Other and unspecified noninfectious gastroenteritis and colitis	K5289	Other specified noninfective gastroenteritis and colitis	11	K50-K52	Noninfective enteritis and colitis	K528	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
5533	Diaphragmatic hernia without mention of obstruction or gangrene	K449	Diaphragmatic hernia without obstruction or gangrene	11	K40-K46	Hernia	K44	
5601	Paralytic ileus	K560	Paralytic ileus	11	K55-K64	Other diseases of intestines	K56	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
56210	Diverticulosis of colon (without mention of hemorrhage)	K5730	Diverticulosis of large intestine without perforation or abscess without bleeding	11	K55-K64	Other diseases of intestines	K573	
5641	Irritable bowel syndrome	K589	Irritable bowel syndrome without diarrhea	11	K55-K64	Other diseases of intestines		
5609	Unspecified intestinal obstruction	K5660	Unspecified intestinal obstruction	11	K55-K64	Other diseases of intestines	K566	
56211	Diverticulitis of colon (without mention of hemorrhage)	K5732	Diverticulitis of large intestine without perforation or abscess without bleeding	11	K55-K64	Other diseases of intestines	K573	
56400	Constipation, unspecified	K5900	Constipation, unspecified	11	K55-K64	Other diseases of intestines	K590	
5693	Hemorrhage of rectum and anus	K625	Hemorrhage of anus and rectum	11	K55-K64	Other diseases of intestines	K62	
5738	Other specified disorders of liver	K761	Chronic passive congestion of liver	11	K70-K77	Diseases of liver	K76	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
5739	Unspecified disorder of liver	K769	Liver disease, unspecified	11	K70-K77	Diseases of liver	K76	
5718	Other chronic nonalcoholic liver disease	K760	Fatty (change of) liver, not elsewhere classified	11	K70-K77	Diseases of liver	K76	This ICD-9 code matches multiple ICD-10 codes, the first options was chosen by default
57420	Calculus of gallbladder without mention of cholecystitis, without mention of obstruction	K8020	Calculus of gallbladder without cholecystitis without obstruction	11	K80-K87	Disorders of gallbladder, biliary tract and pancreas		
5780	Hematemesis	K920	Hematemesis	11	K90-K95	Other diseases of the digestive system		
5781	Blood in stool	K921	Melena	11	K90-K95	Other diseases of the digestive system	K92	
5849	Acute kidney failure, unspecified	N179	Acute kidney failure, unspecified	14	N17-N19	Acute kidney failure and chronic kidney disease	N17	
5789	Hemorrhage of gastrointestinal tract, unspecified	K922	Gastrointestinal hemorrhage, unspecified	11	K90-K95	Other diseases of the digestive system	K92	
5853	Chronic kidney disease, Stage III (moderate)	N183	Chronic kidney disease, stage 3 (moderate)	14	N17-N19	Acute kidney failure and chronic kidney disease	N18	
5859	Chronic kidney disease, unspecified	N189	Chronic kidney disease, unspecified	14	N17-N19	Acute kidney failure and chronic kidney disease	N18	
5856	End stage renal disease	N186	End stage renal disease	14	N17-N19	Acute kidney failure and chronic kidney disease	N18	
5920	Calculus of kidney	N200	Calculus of kidney	14	N20-N23	Urolithiasis	N20	
5932	Cyst of kidney, acquired	N281	Cyst of kidney, acquired	14	N25-N29	Other disorders of kidney and ureter	N28	
